id,order_id,payment_method,amount
200001,90890,credit_card,6376
200002,74453,bank_transfer,2220
200003,97848,gift_card,2511
200004,3244,bank_transfer,3210
200005,436,bank_transfer,1151
200006,27057,bank_transfer,3745
200007,70629,bank_transfer,9369
200008,80269,gift_card,4990
200009,65460,credit_card,8578
200010,16794,coupon,6162
200011,19942,credit_card,1502
200012,98777,bank_transfer,2360
200013,41259,credit_card,7945
200014,75000,bank_transfer,8164
200015,77618,coupon,251
200016,57017,credit_card,950
200017,25707,gift_card,3612
200018,9665,gift_card,5464
200019,25300,credit_card,9003
200020,69515,bank_transfer,6549
200021,56132,gift_card,7185
200022,95121,bank_transfer,4874
200023,4409,bank_transfer,1270
200024,2953,credit_card,9667
200025,90035,coupon,3100
200026,8767,bank_transfer,212
200027,99641,bank_transfer,7585
200028,70838,gift_card,2223
200029,99513,coupon,9465
200030,79631,coupon,4311
200031,84601,credit_card,9475
200032,43288,gift_card,466
200033,34967,gift_card,9172
200034,5006,coupon,479
200035,18169,bank_transfer,8101
200036,29887,bank_transfer,2875
200037,54169,credit_card,5740
200038,27049,credit_card,4808
200039,6408,coupon,2965
200040,30553,coupon,1736
200041,60220,credit_card,5669
200042,32518,bank_transfer,6995
200043,2029,bank_transfer,1124
200044,96019,coupon,1389
200045,2057,gift_card,953
200046,62057,gift_card,2670
200047,65928,coupon,6828
200048,43627,credit_card,8595
200049,55957,credit_card,2142
200050,5724,credit_card,192
200051,46869,credit_card,1119
200052,71845,coupon,2601
200053,23377,gift_card,2464
200054,97626,credit_card,5303
200055,81254,bank_transfer,1739
200056,77809,credit_card,1599
200057,92066,gift_card,4279
200058,39303,bank_transfer,4052
200059,37808,credit_card,8694
200060,72952,credit_card,9541
200061,68338,credit_card,1852
200062,34260,gift_card,7446
200063,9070,gift_card,7286
200064,81030,gift_card,5442
200065,73481,bank_transfer,9864
200066,68868,bank_transfer,9301
200067,50489,bank_transfer,9179
200068,5981,gift_card,9441
200069,14278,coupon,4632
200070,30030,credit_card,7075
200071,39618,bank_transfer,1347
200072,13111,gift_card,8657
200073,72782,coupon,5268
200074,25743,bank_transfer,7794
200075,70442,gift_card,2731
200076,92118,credit_card,7314
200077,28563,gift_card,9771
200078,68318,gift_card,2970
200079,21030,credit_card,228
200080,79117,credit_card,7864
200081,67455,coupon,8840
200082,80532,coupon,5276
200083,13202,credit_card,4749
200084,60355,credit_card,4696
200085,60223,gift_card,1724
200086,96268,bank_transfer,6827
200087,73003,credit_card,4433
200088,79345,gift_card,7951
200089,28530,credit_card,6612
200090,6425,bank_transfer,2510
200091,37890,coupon,6004
200092,29313,coupon,1683
200093,454,coupon,3297
200094,37422,credit_card,663
200095,48521,credit_card,5086
200096,55505,gift_card,1030
200097,52191,gift_card,125
200098,22389,credit_card,9978
200099,59511,credit_card,3503
200100,9309,credit_card,7339
200101,84100,coupon,6306
200102,90718,bank_transfer,1344
200103,90019,credit_card,5094
200104,1382,credit_card,3734
200105,5556,credit_card,1027
200106,38288,gift_card,3541
200107,38361,coupon,3914
200108,70512,credit_card,4156
200109,4397,credit_card,9777
200110,98312,coupon,7876
200111,35836,gift_card,6830
200112,82339,coupon,5556
200113,85082,coupon,9496
200114,5529,bank_transfer,2277
200115,36771,gift_card,4219
200116,58669,credit_card,9814
200117,20501,coupon,1928
